group1_id,group2_id
157230,157631
156656,157616
155827,156737
156552,156551
157788,155841
156687,156688
157228,157687
158425,156667
157706,156260
157228,156721
162415,157325
157069,156144
139888,139889
139836,140522
155855,157776
156707,157227
141301,141302
139783,140437
156937,156945
156681,158425
155857,158424
142104,142105
155885,156125
156648,156647
157990,158042
156546,156597
157584,157089
156262,157414
156243,157230
155817,157227
139990,139817
158312,162414
140436,139939
157094,158536
157697,156910
157227,157599
156374,155997
142564,142437
139981,139843
157229,156640
156446,156360
139999,139817
156695,158419
157221,157227
139888,139887
156671,156259
156413,156377
155899,156474
158262,156835
157451,157450
157686,156260
155868,156408
156169,157583
157584,156660
155827,157753
156522,157486
140472,139888
157581,156627
140121,140150
156737,157608
140561,141043
139943,139944
157774,156631
155886,157581
156648,155808
156740,156664
157583,157609
157777,158425
158446,156667
157582,157776
140420,140421
156413,156381
156478,155809
157841,156814
157583,157602
158439,155809
156923,157438
157583,157707
139756,140562
157581,155840
142136,142102
156260,156659
142071,142471
158438,157788
156923,156906
157777,158446
156163,158383
156260,157604
140473,139892
139892,140472
156360,156446
155868,156596
158504,155993
158034,157376
139983,139980
140664,142105
155794,157239
139883,139884
139882,139883
140434,140435
157238,155996
140990,140412
156673,157228
155816,156259
155870,156408
156726,156727
156527,156597
140434,139937
156587,157581
156393,156569
158504,155995
158038,158262
142475,142075
139893,139890
139840,140496
142169,142168
156242,156250
155886,162773
156451,156737
156216,157777
158414,157228
157692,157583
157776,156664
156656,157692
140505,139994
155824,156215
158048,156810
155763,157625
140453,139865
141019,142329
158402,157583
140012,139759
155868,156739
156872,162483
140521,139836
158156,157792
158433,156448
157622,156920
156677,155816
156596,156557
156923,157228
155824,157228
157753,157581
156125,155885
158262,158046
139840,140414
156259,156698
157456,157455
139894,139895
155864,156260
158041,155785
156597,156385
156697,156696
139885,139887
141257,142181
158507,155996
156259,155858
158197,158029
158420,155801
142103,142136
156596,155817
156256,156739
142341,142095
156737,156660
156399,156215
141228,142191
158036,158197
156262,156261
140472,139893
139895,139897
157230,157627
157450,157454
155846,156671
157471,156738
156923,157437
156898,157694
139942,139939
157583,158419
157690,157227
140349,140350
157227,156728
157634,156923
157693,157690
140474,140475
140506,139987
156398,156216
157950,156187
155901,155902
157857,156923
156558,157221
156700,158420
157222,158422
157460,157462
158383,157913
139990,140505
156920,156909
157239,155828
156680,157776
140392,140391
139882,139885
156715,156714
155867,156261
156597,156581
156464,155899
156414,155872
157625,157622
156897,157690
