student_id,activity_id,req_group_id
16587,3272045,156893
17718,2897419,139883
17324,3274710,157441
18563,3277665,158405
15335,3275070,157625
17576,2897521,140001
17755,3270330,156387
16003,2897950,140140
17333,2897137,139794
16119,3272031,156879
17394,3271176,156623
11839,3276443,158034
15491,3270354,156408
16031,3275049,157599
16027,2900348,140664
16501,2906394,142623
15379,2905234,142295
17431,2901251,140997
17907,2897204,139841
15134,3277292,158346
12870,2902316,141204
17458,2901251,141001
15027,3276939,158170
14242,3271221,156689
19020,3278620,158534
16487,3275955,157847
16294,3274855,157581
16115,3268287,155899
13086,2897950,140147
17787,3271446,156712
16422,2904507,142117
11017,3271788,156835
13017,3268287,155898
17271,3270362,156414
13961,2900857,140847
16028,2905858,142452
16343,3272059,156906
17614,2899189,140436
13910,2898542,140276
16041,3268271,155881
15257,2904531,142135
16418,2905874,142478
17418,2899189,140450
14384,3271176,156632
17367,2899189,140465
16460,2905890,142498
15050,2903711,141809
14196,2898542,140276
17788,3275412,157776
16208,3271073,156585
17310,2897419,139868
17614,3274710,157449
14429,2897966,140153
17906,2899627,140563
16418,3275203,157753
17614,2897419,139897
17731,3274739,157476
11559,3276642,158120
17383,3277975,158439
16239,2900348,140662
17557,2901933,141134
17416,2897163,139820
18802,3273511,157236
10827,2904017,141916
16140,2904483,142090
16416,2904507,142125
17263,2901349,141072
17752,3275412,157776
16003,2905874,142479
12131,2900923,140887
16359,2901349,141074
16208,3270322,156379
16041,3278133,158462
15446,2900460,140693
16228,2899554,140507
17718,2897419,139868
16454,3270865,156527
17278,3274710,157450
17609,3277780,158421
12709,2900953,140920
12991,2902316,141204
17576,2899116,140390
17573,3277780,158419
17773,2901303,141043
17752,2897111,139750
16343,2897934,140124
16019,2905970,142564
17359,3271176,156640
16246,2904766,142191
17491,2899116,140361
16450,3270150,156304
15225,3275077,157632
17798,2897137,139778
16208,3270314,156370
16419,2905970,142564
17371,2899627,140564
13095,3277220,158284
17842,3271491,156738
15238,2903235,141558
17316,3274710,157455
12770,3276963,158191
17422,3271221,156690
15640,3268275,155887
17652,2897204,139842
16103,3272059,156917
16520,2900348,140664
16103,3272059,156916
15195,3272248,156946
16214,2905970,142564
