group_id,students_cnt,min,min_preferred,max,max_preferred
111720,10,0,0,10,0
112172,10,0,0,10,0
113604,24,0,0,24,0
113605,10,0,0,16,16
113606,15,0,0,16,16
113607,13,0,0,16,16
113608,11,0,0,16,16
113609,12,0,0,16,16
113611,14,0,0,16,16
113612,14,0,0,16,16
113613,11,0,0,16,16
113614,14,0,0,16,16
113615,13,0,0,16,16
113616,16,0,0,16,16
113617,15,0,0,16,16
113618,12,0,0,16,16
113619,15,0,0,16,16
113622,15,0,0,16,16
113623,16,0,0,16,16
113624,16,0,0,16,16
113625,16,0,0,16,16
113626,16,0,0,16,16
113627,14,0,0,16,16
113628,15,0,0,16,16
113629,15,0,0,16,16
113630,16,0,0,16,16
113631,14,0,0,16,16
113632,17,0,0,17,0
113634,12,0,0,16,16
113635,9,0,0,16,16
113636,13,0,0,16,16
113639,11,0,0,16,16
113640,14,0,0,16,16
113641,12,0,0,16,16
113644,14,0,0,16,16
113645,13,0,0,16,16
113647,15,0,0,16,16
113648,15,0,0,16,16
113650,14,0,0,16,16
113651,17,0,0,17,16
113653,14,0,0,16,16
113654,16,0,0,16,16
113655,15,0,0,16,16
113656,15,0,0,16,16
113657,14,0,0,16,16
113660,15,0,0,15,0
113661,7,0,0,16,16
113662,13,0,0,16,16
113663,12,0,0,16,16
113664,8,0,0,16,16
113666,13,0,0,16,16
113667,14,0,0,16,16
113671,16,0,0,16,16
113672,14,0,0,16,16
113675,13,0,0,16,16
113676,16,0,0,16,16
113677,14,0,0,16,16
113679,16,0,0,16,16
113680,16,0,0,16,16
113681,15,0,0,16,16
113684,15,0,0,16,16
113685,16,0,0,16,16
113686,16,0,0,16,16
113688,68,0,0,68,0
113689,156,140,140,156,150
113690,154,145,145,154,150
113691,90,80,80,90,85
113692,87,80,80,87,85
113693,85,80,80,85,85
113694,148,145,145,150,150
113695,100,95,95,100,100
113703,25,0,0,25,0
113705,15,0,0,15,15
113707,16,0,0,16,15
113708,16,0,0,16,15
113710,15,0,0,15,15
113711,10,0,0,15,15
113713,16,0,0,16,15
113715,15,0,0,15,15
113722,16,0,0,16,15
113723,15,0,0,15,15
113724,15,0,0,15,15
113725,16,0,0,16,15
113726,14,0,0,15,15
113727,16,0,0,16,15
113728,15,0,0,15,15
113729,15,0,0,15,15
113730,14,0,0,15,15
113731,16,0,0,16,15
113732,16,0,0,16,15
113733,15,0,0,15,15
113734,16,0,0,16,15
113735,14,0,0,15,15
113736,15,0,0,15,15
113737,15,0,0,15,15
113738,15,0,0,15,15
113739,16,0,0,16,15
113740,16,0,0,16,15
113741,16,0,0,16,15
113742,16,0,0,16,15
113743,16,0,0,16,15
113744,16,0,0,16,15
113745,16,0,0,16,15
113746,15,0,0,15,15
113747,16,0,0,16,15
113748,15,0,0,15,15
113749,14,0,0,15,15
113750,14,0,0,15,15
113751,14,0,0,15,15
113752,10,0,0,15,15
113753,19,0,0,19,0
113755,9,0,0,15,15
113756,16,0,0,16,15
113757,16,0,0,16,15
113770,16,0,0,16,15
113773,16,0,0,16,15
113774,16,0,0,16,15
113775,14,0,0,15,15
113776,15,0,0,15,15
113777,16,0,0,16,15
113778,16,0,0,16,15
113779,16,0,0,16,15
113780,15,0,0,15,15
113781,16,0,0,16,15
113782,16,0,0,16,15
113783,16,0,0,16,15
113784,16,0,0,16,15
113785,16,0,0,16,15
113786,16,0,0,16,15
113787,16,0,0,16,15
113788,15,0,0,15,15
113789,15,0,0,15,15
