group1_id,group2_id
140323,140676
142135,141979
142603,140663
157237,157228
158062,156905
157032,158403
156908,156527
156346,157881
156715,157227
157230,157631
158277,157238
157777,158042
142181,140920
156916,156681
151993,140316
157876,156661
156738,156581
156656,157616
140008,140369
155827,156737
142096,140565
156389,157913
156552,156551
158335,163050
142663,141072
140449,142345
140839,142135
142624,141025
155901,156240
156632,157235
156414,157582
156740,156470
157701,157235
139965,140496
141078,142130
156215,157032
141934,140323
140473,141227
156953,156521
141836,142341
139808,140012
157061,157584
151993,142092
157235,155868
158556,155882
156917,156681
155849,157091
156075,157221
141072,151847
158345,156719
158507,158509
158522,156253
142624,141020
156684,156414
156705,158538
158359,155997
141204,142626
142072,141074
142329,142572
152283,141744
155808,158539
140153,141936
156893,157239
157691,158505
158515,158419
140423,139928
144250,142152
156633,156215
157230,156727
158528,156354
157235,156631
158383,158177
158527,156354
151856,142566
142458,140438
156687,156688
144142,141075
156244,156920
156260,156669
157601,157325
142625,142558
157239,156889
156666,155995
158423,156913
140009,142163
157474,156489
156635,156216
156558,158537
142135,140849
158038,158511
141073,144250
155869,156359
142125,141078
157615,157221
142116,140153
156737,155882
140563,141540
157753,158060
156376,157237
140565,140679
156308,156740
156738,156658
142568,151854
151848,140908
156536,157090
142081,141204
158281,156738
140522,141075
140816,140008
158503,158091
139875,140151
156673,156055
156656,158280
157472,155901
157228,157687
158425,156667
163045,156129
140994,140566
139880,142134
139943,141077
140566,142574
141204,142408
142626,141980
157706,156260
156505,157237
156950,157007
163036,158538
156663,157005
139953,139954
142623,141001
156256,156596
139916,140662
156259,156072
140542,140323
157688,158468
141520,140441
156649,157913
139963,141965
140315,140392
156712,156597
156437,156952
142530,141077
157326,156916
155795,156360
142332,140547
140506,142133
142123,142566
139928,140421
156700,156527
158553,155860
140012,139927
156911,156393
156527,156895
140560,141811
156463,156060
155671,157883
157913,156820
140861,142135
157582,156626
140527,141076
156523,157198
167084,157693
156215,158308
157228,156721
152269,140150
158424,158408
141968,140516
140379,142624
156563,156261
156898,157091
157092,156692
140387,141131
157770,156126
142179,139845
157079,167056
156656,163051
155864,158355
156610,158534
152269,140315
158330,158038
158502,157621
142063,141624
140373,140011
141395,141204
141072,141456
142438,142564
158510,157583
139765,139844
140448,142625
156738,155674
162131,157091
156127,158519
142572,139914
140134,142175
157631,156560
142445,141072
156580,158538
139981,142134
157912,158325
139805,140662
158409,156917
141072,140846
141457,142462
140541,142181
142095,141072
142625,141968
141037,141611
157005,158439
156892,158537
167064,156216
156360,156729
151855,141847
157173,157754
155847,156909
140449,141576
140453,141802
158194,157237
139923,140086
158510,157623
141896,142339
158516,156819
140421,139779
142408,142096
156260,156720
139923,142329
157091,158349
158529,158530
142067,142295
140008,140109
156950,156738
157239,157895
157909,157775
141078,141136
140841,139891
158477,158439
156335,158555
142566,140915
156915,158439
157988,157912
158123,158534
157227,157753
155993,156215
156923,162129
158184,156740
139988,151856
156722,157238
155842,156650
142565,141964
140462,151993
142143,139856
158296,156559
142160,141072
