student_id,activity_id,req_group_id
17515,2905429,142331
12131,2900953,140920
17787,3271491,156740
16628,2899189,140462
15335,2904750,142182
17542,2901349,141072
17534,3274710,157446
17298,3268234,155849
13951,2898537,140271
18497,3278620,158537
17752,2901303,141043
17460,3274855,157584
17855,2897470,139906
16614,2905549,144141
17718,2901251,140990
17743,2901349,141073
17576,2899627,140566
17823,2901251,140998
16177,3272073,156920
18689,3273511,157235
16356,3272073,156921
17845,2897204,139842
16177,3275147,157702
16026,2904507,142114
13205,3275133,157688
15154,3269916,156260
17367,3268184,155802
16464,3271094,156596
16203,2904459,142075
16614,2906394,142625
17614,2899189,140474
17761,2901349,141074
17300,2901264,141004
16416,2904459,142082
15314,3271446,156712
18928,3277665,158403
15412,3269192,156059
16418,3277508,158383
17906,2899554,140546
14053,3276459,158049
16011,2897572,140013
12835,3276435,158025
17376,3270968,156555
15468,2897137,139797
16627,2904483,142085
15458,2904766,142192
17671,3271221,156674
14181,2900923,140888
17511,3271221,156675
12778,2897966,140153
14211,3276451,158041
16229,2897470,139953
14485,3270225,156355
17303,2899116,140346
16614,3270211,156343
17906,2901251,141000
15368,2902425,141241
15552,3270968,156569
15027,3276947,158178
17906,3278017,158444
16075,3270218,156346
16519,3269888,156243
16505,3270810,156521
15108,3272261,156959
16028,2897934,140125
16115,3268279,155891
17614,2897137,139796
14198,3274276,157326
16460,2906394,142621
15225,3272059,156907
17271,3270947,156544
16603,3269702,156216
15193,2902419,141232
17684,3271073,156583
16086,3275955,157849
15286,2904766,142192
17827,3271221,156664
17388,3271176,156623
15097,2903231,141554
17538,2899116,140369
17435,2901933,141131
16014,3268283,155893
17584,2899627,140562
15273,2905234,142296
16245,3270810,156521
16199,3277508,158384
17484,3273312,157227
17614,3268234,155848
15535,3277009,158210
17629,2897137,139797
17718,2897137,139788
15195,2903675,141776
16170,2904483,142090
15050,2903702,141807
14005,2903943,141891
17418,2899554,140504
11751,3277220,158279
17826,3273312,157228
17476,2899189,140441
15050,2902861,141411
10029,2897966,140151
15027,3272989,157173
15156,2904718,142154
17705,3270330,156387
17683,2905429,142333
15141,3267934,155670
16443,2897950,140148
19020,3278865,158554
17540,2899554,140538
17462,3275412,157776
16194,3272059,156912
15640,3270609,156460
16214,2904531,142135
15573,3271491,156738
17474,3271073,156585
17266,3271094,156597
16285,3275203,157753
13072,3276506,158059
17458,2899554,140509
16400,2898761,140317
17614,2899116,140409
15457,3272031,156886
17718,2897572,140009
15655,2906394,142626
16356,2905549,142346
17449,3274710,157460
16164,3272073,156920
17333,2901933,141136
17851,3268194,155804
17268,3271221,156677
16470,2905549,142341
15317,3272995,157178
17597,3275412,157776
12889,2904104,141953
16643,2904483,142100
15314,3271446,156710
17645,2901290,141036
17321,3274739,157472
16714,2897521,140004
16027,3276010,157908
16523,2897572,140013
15514,3270225,156353
17808,3271176,156631
16075,2900348,140664
15457,2897934,140120
16256,3275084,157635
17687,3271176,156642
15357,3272031,156883
15109,3269192,156058
17855,2897470,139954
17596,3271094,156596
16418,3275203,157755
18770,3273511,157235
15141,2902431,141245
16209,2906394,142625
16637,3271221,156673
17743,2901251,141001
17614,2901290,141037
17616,3271446,156726
15468,3270346,156402
15180,2903675,141775
17751,2899627,140560
16505,2900348,140662
14373,3277220,158277
16418,3275049,157604
15494,2904507,142118
15655,2900348,140664
17614,2897419,139881
13095,3277238,158302
