group_id,students_cnt,min,min_preferred,max,max_preferred
139728,0,0,0,0,0
139729,3,0,0,10,10
139746,0,0,0,0,0
139748,13,0,0,15,15
139749,13,0,0,15,15
139750,10,0,0,15,15
139751,12,0,0,15,15
139752,10,0,0,15,15
139753,11,0,0,15,15
139754,15,0,0,15,15
139756,14,0,0,15,15
139757,14,0,0,15,15
139758,11,0,0,15,15
139759,15,0,0,15,15
139760,14,0,0,15,15
139761,12,0,0,15,15
139762,15,0,0,15,15
139763,14,0,0,15,15
139764,15,0,0,15,15
139765,15,0,0,15,15
139766,14,0,0,15,15
139767,13,0,0,15,15
139770,14,0,0,15,15
139771,16,0,0,16,15
139772,0,0,0,0,0
139773,7,0,0,15,15
139774,11,0,0,15,15
139776,12,0,0,15,15
139778,14,0,0,15,15
139779,12,0,0,15,15
139780,10,0,0,15,15
139781,16,0,0,16,15
139782,13,0,0,15,15
139783,14,0,0,15,15
139785,14,0,0,15,15
139786,15,0,0,15,15
139787,14,0,0,15,15
139788,15,0,0,15,15
139789,15,0,0,15,15
139791,13,0,0,15,15
139792,15,0,0,15,15
139793,16,0,0,16,15
139794,15,0,0,15,15
139795,14,0,0,15,15
139796,14,0,0,15,15
139797,14,0,0,15,15
139798,0,0,0,0,0
139799,11,10,10,15,15
139801,10,10,10,15,15
139802,12,10,10,15,15
139803,12,10,10,15,15
139804,10,10,10,15,15
139805,11,10,10,15,15
139806,15,10,10,15,15
139807,14,10,10,15,15
139808,12,10,10,15,15
139809,9,9,10,15,15
139813,13,10,10,15,15
139814,14,10,10,15,15
139815,14,10,10,15,15
139816,10,10,10,15,15
139817,15,10,10,15,15
139819,14,10,10,15,15
139820,15,10,10,15,15
139821,14,10,10,15,15
139822,15,10,10,15,15
139823,14,10,10,15,15
139824,11,10,10,15,15
139825,14,10,10,15,15
139826,15,10,10,15,15
139829,15,10,10,15,15
139830,15,10,10,15,15
139831,15,10,10,15,15
139834,13,10,10,15,15
139835,15,10,10,15,15
139836,15,10,10,15,15
139839,0,0,0,0,0
139840,134,112,112,137,137
139841,82,70,70,85,85
139842,147,123,123,150,150
139843,146,144,144,160,160
139844,92,77,77,94,94
139845,132,123,123,150,150
139853,0,0,0,0,0
139856,13,0,0,15,15
139857,15,0,0,15,15
139859,13,0,0,15,15
139861,14,0,0,15,15
139862,13,0,0,15,15
139864,15,0,0,15,15
139865,15,0,0,15,15
139867,14,0,0,15,15
139868,14,0,0,15,15
139869,15,0,0,15,15
139870,15,0,0,15,15
139871,15,0,0,15,15
139873,15,0,0,15,15
139874,16,0,0,16,15
139875,15,0,0,15,15
139876,14,0,0,15,15
139877,15,0,0,15,15
139878,14,0,0,15,15
139879,15,0,0,15,15
139880,15,0,0,15,15
139881,15,0,0,15,15
139882,15,0,0,15,15
139883,15,0,0,15,15
139884,15,0,0,15,15
139885,15,0,0,15,15
139886,15,0,0,15,15
139887,15,0,0,15,15
139888,15,0,0,15,15
139889,14,0,0,15,15
139890,15,0,0,15,15
139891,15,0,0,15,15
139892,15,0,0,15,15
139893,15,0,0,15,15
139894,15,0,0,15,15
139895,15,0,0,15,15
139896,15,0,0,15,15
139897,15,0,0,15,15
139898,15,0,0,15,15
139899,16,0,0,16,15
139900,15,0,0,15,15
139902,15,0,0,15,15
139903,15,0,0,15,15
139904,0,0,0,0,0
139906,14,0,0,15,15
139907,14,0,0,15,15
139909,15,0,0,15,15
139911,14,0,0,15,15
139912,14,0,0,15,15
139914,15,0,0,15,15
139916,14,0,0,15,15
139917,15,0,0,15,15
139918,15,0,0,15,15
139920,14,0,0,15,15
139921,15,0,0,15,15
139923,15,0,0,15,15
139924,15,0,0,15,15
139926,15,0,0,15,15
139927,15,0,0,15,15
139928,14,0,0,15,15
139929,13,0,0,15,15
139930,15,0,0,15,15
139931,15,0,0,15,15
139932,15,0,0,15,15
139933,15,0,0,15,15
139934,15,0,0,15,15
139935,15,0,0,15,15
139936,15,0,0,15,15
139937,15,0,0,15,15
139938,15,0,0,15,15
139939,15,0,0,15,15
139940,15,0,0,15,15
139941,15,0,0,15,15
139942,15,0,0,15,15
139943,15,0,0,15,15
139944,15,0,0,15,15
139945,15,0,0,15,15
139946,14,0,0,15,15
139947,15,0,0,15,15
139948,13,0,0,15,15
139949,16,0,0,16,15
139953,15,0,0,15,15
139954,15,0,0,15,15
139955,0,0,0,0,0
139961,15,0,0,15,15
139963,13,0,0,15,15
139964,15,0,0,15,15
139965,15,0,0,15,15
139966,14,0,0,15,15
139969,15,0,0,15,15
139970,15,0,0,15,15
139971,15,0,0,15,15
139972,15,0,0,15,15
139976,15,0,0,15,15
139977,16,0,0,16,15
139978,13,0,0,15,15
139980,15,0,0,15,15
