student_id,activity_id,req_group_id
15136,3277001,158202
17863,2901349,141073
15491,2903227,141551
16587,3272045,156893
17718,2897419,139883
17324,3274710,157441
18563,3277665,158405
14183,2900944,140912
16206,2906394,142625
17614,2897521,139994
15335,3275070,157625
17576,2897521,140001
17578,3268204,155814
17755,3270330,156387
11957,2903793,141843
17288,2899189,140465
14100,3276642,158125
16109,3270810,156521
16003,2897950,140140
17271,2897419,139903
17333,2897137,139794
16119,3272031,156879
13931,2898542,140274
16343,2905906,142500
17394,3271176,156623
15314,3271446,156711
17273,2897111,139766
16555,2897966,140153
15193,2902437,141250
11839,3276443,158034
17616,3271446,156698
17868,2901277,141025
15491,3270354,156408
16088,3272059,156915
15374,2904718,142148
16031,3275049,157599
16027,2900348,140664
16170,3275955,157849
13961,3267934,155669
16501,2906394,142623
17368,3271176,156630
15266,2904718,142147
19031,3268684,155995
15379,2905234,142295
14049,3276502,158056
13047,2903947,141896
17614,2897419,139882
17431,2901251,140997
15221,2900460,140699
15491,2903207,141531
12871,2902316,141204
17435,2901933,141134
15656,2897966,140152
15227,2905234,142297
17462,3271491,156738
15231,2903219,141544
16618,2905549,142341
17907,2897204,139841
14416,3272828,157112
17485,2897419,139871
16450,3270130,156284
15134,3277292,158346
14290,2900926,140893
12870,2902316,141204
17405,2897572,140008
17821,3271221,156689
17652,2901303,141045
17625,2901251,140998
16603,3271094,156597
16170,2904507,142111
17576,2901349,141075
15231,2902861,141412
16510,2897204,139840
16470,2904483,142090
15018,2904718,142145
15223,2902419,141235
17458,2901251,141001
16044,3268244,155858
15027,3276939,158170
14242,3271221,156689
19020,3278620,158534
11581,2904110,141959
13920,3275063,157618
17263,2899116,140352
15343,3270947,156540
15231,2905234,142296
14162,3276610,158090
17892,3274855,157581
16487,3275955,157847
17671,3277780,158419
16294,3274855,157581
17506,3277776,158414
16160,3274710,157440
17418,2901290,141030
14094,3272073,156920
16115,3268287,155899
15247,2904130,141979
15109,3269188,156054
15017,3272269,156968
15053,2902437,141250
14546,3276451,158042
16086,2905842,142440
17263,2897111,139751
17393,3268214,155825
17394,2905429,142335
15078,2904135,141984
13086,2897950,140147
17787,3271446,156712
17640,2897204,139842
17850,3271073,156581
16422,2904507,142117
15344,2905234,142297
16414,2901290,141039
15119,3272073,156919
17284,3274855,157581
15260,2904750,142180
11017,3271788,156835
17351,2901251,140996
17613,2901349,141072
15365,2900460,140689
13017,3268287,155898
17464,3277780,158419
18479,3277662,158400
16075,3277508,158384
17271,3270362,156414
13961,2900857,140847
16028,2905858,142452
16343,3272059,156906
14487,2902419,141235
15159,2905234,142294
17614,2899189,140436
12027,3275412,157775
17906,2901290,141031
16052,3270810,156521
13910,2898542,140276
17538,2897111,139766
16117,3277508,158382
17842,2901290,141036
16041,3268271,155881
17892,2897521,140004
16450,3270155,156308
15251,2897470,139937
16418,2905874,142478
15257,2904531,142135
17331,3270322,156377
15567,3277508,158383
15449,2904750,142184
17351,3268184,155798
16338,2897934,140118
14441,2903567,141717
16302,2904483,142098
15287,2904135,141985
17418,2899189,140450
17485,3271221,156690
15202,3272059,156915
15554,2904718,142147
16293,2905938,142541
14384,3271176,156632
17367,2899189,140465
16460,2905890,142498
15532,2903296,141576
14416,3272848,157133
16103,3277508,158383
17897,2901251,141000
17489,3274739,157466
15050,2903711,141809
11581,2904116,141964
16075,2904531,142133
17614,2901251,140992
17798,2899627,140565
14196,2898542,140276
17788,3275412,157776
15358,2897966,140154
17794,3268214,155830
17553,3270346,156400
17288,2897419,139876
16028,2905874,142479
13111,3277292,158355
16470,2904483,142103
16208,3271073,156585
16468,2905842,142437
15389,3274855,157581
17310,2897419,139868
17755,3278620,158539
12850,2898537,140271
17614,3274710,157449
14429,2897966,140153
17538,2901251,141001
15468,2899189,140421
16410,2904483,142097
17386,2901349,141072
15573,2904459,142069
12796,3275056,157611
18928,3268684,155995
16013,3275084,157634
17502,2901349,141076
15058,3277238,158297
17476,2899627,140560
17906,2899627,140563
17491,2899189,140449
16003,2905858,142452
16126,3275203,157755
15017,3272273,156972
16096,3272073,156920
16418,3275203,157753
14159,3276634,158117
17395,3271221,156659
15141,3267942,155677
15436,2899189,140449
15600,3272477,157078
17614,2897419,139897
17731,3274739,157476
12671,2898537,140271
11559,3276642,158120
15361,2904135,141983
16206,2904531,142135
16121,3277508,158384
15141,2902443,141256
17383,3277975,158439
16383,2904734,142159
14477,2897204,139841
17485,3274855,157581
17450,3268194,155804
15017,2903351,141629
15373,3277292,158355
15195,2903711,141812
16127,3275412,157777
16554,2905842,142446
16239,2900348,140662
15392,2900348,140663
17755,3270346,156403
16614,3270218,156348
17484,3271446,156719
16292,2904531,142132
17557,2901933,141134
16158,2906394,142625
17416,2897163,139820
12850,3276955,158181
15444,2903351,141625
15374,3272031,156883
13111,3277238,158300
15573,3275203,157753
18802,3273511,157236
16144,2904507,142117
15335,3272031,156886
10827,2904017,141916
13961,2900864,140854
16140,2904483,142090
16522,3268271,155881
16416,2904507,142125
14309,3277256,158320
17614,2899116,140393
17263,2901349,141072
17694,2901264,141014
15027,2906350,142602
13968,3276939,158166
17538,2901277,141021
17652,2897470,139938
17752,3275412,157776
12859,3267934,155670
17892,3271221,156690
14346,2900446,140675
13961,3277015,158216
17395,3274739,157469
16582,2905890,142498
17316,3274710,157447
15257,2904531,142133
17319,2901264,141005
16003,2905874,142479
16008,3272031,156879
16214,2905549,142339
17718,2901277,141019
15102,3272360,157007
12131,2900923,140887
17842,2899116,140392
16359,2901349,141074
15020,2902850,141401
16637,2899116,140342
16208,3270322,156379
16643,2904483,142105
15705,2906394,142621
17713,2901303,141043
15252,3273020,157203
17632,3268234,155849
16041,3278133,158462
17540,2897137,139797
18057,2901290,141035
15257,2904750,142183
16298,2899189,140485
15446,2900460,140693
17741,3268184,155798
16228,2899554,140507
17614,2897111,139764
17263,2901290,141039
17761,3268234,155852
17718,2897419,139868
16520,2904483,142105
16454,3270865,156527
17614,2899116,140407
15573,3275084,157636
15374,2904766,142192
17278,3274710,157450
15365,2905234,142297
17609,3277780,158421
17618,3275412,157776
19004,3273511,157238
14045,2902316,141204
17489,3271221,156659
16170,2905906,142504
17316,2899189,140441
17632,3270338,156394
16600,2897137,139793
12709,2900953,140920
12991,2902316,141204
16637,3277776,158416
17306,2897137,139780
18865,3277665,158404
17576,2899116,140390
17842,3269888,156247
17632,3268244,155858
16000,3272073,156921
17573,3277780,158419
15171,3269916,156259
17773,2901303,141043
17752,2897111,139750
16418,3275084,157636
16628,3270810,156522
13925,2897874,140083
16343,2897934,140124
15568,2904531,142135
16542,2905970,142568
16019,2905970,142564
17359,3271176,156640
13961,3269192,156059
18929,3277665,158403
15368,2902431,141246
16523,2899116,140388
15598,2905954,142562
17821,2897204,139845
16028,2897950,140140
15154,2906394,142623
15295,3277220,158278
14260,3271788,156837
17855,2897419,139864
17831,2901933,141135
17614,2897470,139931
19023,3273511,157236
13968,2904017,141917
17787,3271446,156727
16086,3275977,157869
16246,2904766,142191
17491,2899116,140361
16450,3270150,156304
14092,3276435,158025
15225,3275077,157632
17798,2897137,139778
17614,3275412,157775
17684,2899116,140392
18862,3268684,155997
15225,3275133,157688
16523,2897521,140004
17458,3270314,156371
17430,3270314,156370
17614,2897419,139879
14151,2898542,140276
16208,3270314,156370
16127,2904507,142113
16419,2905970,142564
17752,3277776,158415
17641,2897521,140005
15156,3277220,158280
17576,2899116,140399
17371,2899627,140564
16326,2905906,142509
15017,3272261,156960
16520,2904483,142097
16268,3269389,156129
17474,3270362,156413
13095,3277220,158284
15251,3268271,155883
17614,2897470,139932
17842,3271491,156738
17367,3268234,155850
18563,3277662,158399
15222,3275988,157883
17484,3274710,157457
15288,2904766,142191
16422,3268287,155899
16532,3270810,156522
15238,2903235,141558
17288,2897137,139776
17718,2897204,139842
14378,2905858,142466
17770,3270322,156375
17629,2897111,139752
16445,3272073,156920
14181,2900917,140885
16144,2897934,140124
17316,3274710,157455
15186,3277012,158213
14477,2897204,139843
17553,3268184,155797
16643,2904483,142097
16101,3268271,155882
16177,3272059,156915
17510,2901933,141131
15238,2903720,141821
15508,3277508,158383
16003,2897934,140127
12770,3276963,158191
13961,3269188,156055
17831,3270968,156558
15225,3272045,156892
16108,3272073,156919
17458,3271073,156588
17422,3271221,156690
17652,2897204,139842
15225,3275140,157695
15640,3268275,155887
16103,3272059,156917
17553,3268234,155850
16144,2904483,142090
17837,3273191,157221
17759,2897137,139791
18882,3278865,158555
16520,2900348,140664
15484,2900460,140699
16481,3274710,157451
16241,2905549,142339
16177,3272031,156887
17810,3268684,155994
16637,3274739,157465
16445,3272045,156894
15556,3272031,156887
15484,3271491,156738
16103,3272059,156916
16072,2898761,140316
15295,3277220,158283
16293,2905890,142492
17288,2897470,139953
17851,3268204,155822
15022,3268084,155773
15195,3272248,156946
14099,3276602,158083
16360,2905970,142567
17612,2901933,141132
18491,3268684,155995
16627,2904483,142094
17348,2901251,140992
17798,2901277,141027
16214,2905970,142564
14100,3272833,157119
13044,3275370,157770
16231,3268275,155885
15560,3272073,156919
14164,3276510,158063
17878,2897204,139840
15640,3270218,156350
14086,3277238,158289
17433,3277776,158415
17788,3271221,156667
17288,2901264,141014
17748,3271176,156607
16112,2905842,142440
15111,2905234,142297
17315,2897521,140005
16582,2897950,140147
16174,3275140,157695
15135,2904750,142176
12982,3269231,156072
15569,3275412,157774
16028,2905874,142475
16460,2905874,142475
17609,2899189,140441
15547,2906394,142621
13907,3269505,156144
16643,2906394,142626
13985,2897854,140069
17465,2897111,139766
13017,3268275,155885
13925,3276963,158190
17805,3268684,155995
15575,2904766,142191
17741,3270330,156386
15193,2902431,141248
15532,2897111,139766
12770,3276947,158178
17614,2897521,139987
17354,3271176,156644
17288,3274739,157472
16306,3277508,158383
17572,2901264,141010
17616,3274855,157581
17320,3271176,156607
14166,3272239,156940
14092,2903943,141890
15141,2904125,141976
15179,2904531,142133
15361,2902413,141226
19023,3278865,158555
17279,3271221,156685
11839,3276439,158030
17719,3270322,156377
17576,2897419,139873
16511,3270968,156558
17790,2901251,140995
15457,3272073,156919
16450,2899554,140499
17614,2899116,140376
16214,2904483,142099
17476,2901290,141038
17508,2899554,140514
18928,3277662,158399
16112,2905954,142555
15107,2903591,141739
16013,3275154,157706
16381,3276021,157913
16298,2901264,141011
17751,2901251,140998
17420,3277780,158419
17288,2897111,139758
16418,2905906,142511
14185,2897894,140111
14285,3269180,156046
16134,3275133,157688
17676,2897137,139794
11850,2898761,140317
15061,2900460,140696
16419,2900348,140664
14117,2898537,140271
16003,2905858,142462
17625,2897470,139954
17827,2901251,140998
12729,2902316,141204
13020,3277508,158382
12850,2898542,140276
16040,3271491,156738
17837,2901933,141132
17692,2901349,141073
17614,2899554,140557
15050,2904327,142028
16219,2904507,142125
15141,3269188,156056
17394,3278017,158446
13095,3276939,158171
18862,3278620,158536
14147,3272261,156959
17822,2899116,140350
16549,2905858,142466
14358,2898537,140271
18722,3277665,158402
16214,2904483,142097
14346,3277238,158297
17840,2899116,140384
17736,2899627,140561
15238,2903199,141524
16013,3275203,157755
17386,2901303,141042
15361,2902425,141238
16470,2905549,142340
16013,3275133,157685
16523,3271094,156597
17713,3277780,158421
14260,3268373,155909
16193,3274710,157462
19230,3272261,156960
16024,2905874,142469
13017,3268267,155878
17336,3271221,156690
17571,2897572,140010
17378,3277780,158418
17731,2901264,141007
17671,3271221,156669
15170,2902431,141244
16523,2899554,140522
18544,3278620,158537
17502,2901264,141004
15532,2903318,141598
15335,2900460,140688
19004,3278620,158534
17863,2897521,140005
16634,2906394,142624
17719,3270314,156368
14260,2900871,140860
15111,3277274,158341
17892,3271446,156698
18593,3277665,158405
17418,2899116,140372
16203,3270614,156464
13087,2906394,142625
17288,2899554,140550
17614,2899116,140380
17895,2897204,139844
15343,3271073,156576
16028,2897934,140123
15353,2906394,142625
17813,3277776,158415
16470,2904483,142104
17458,3270947,156535
17787,3271446,156704
15491,2903203,141528
17566,3274739,157479
17407,3271176,156621
14369,2904483,142091
17587,2901349,141078
16095,2905970,142566
15260,3277220,158272
15485,3271176,156607
17611,3268254,155864
14314,3272848,157132
17614,2897470,139935
15446,3272045,156891
16208,2905549,142343
17367,2897470,139953
17465,3268184,155795
16007,3268287,155899
15657,2906394,142626
17837,2901933,141136
16523,2897163,139831
17613,2899627,140563
18802,3278865,158555
16028,2905858,142462
17540,2899189,140424
17476,2897521,140005
15355,3272073,156920
17515,2897204,139842
15017,2903191,141514
16479,3275147,157702
15104,2900460,140689
17502,2905429,142332
17360,3271221,156649
15442,2897966,140152
17777,3270968,156570
17851,2901264,141004
15483,2906394,142624
19000,3268684,155995
17273,2901251,140993
17602,2897163,139825
17334,3268234,155846
17777,3273191,157221
17718,2897419,139887
17903,3268184,155801
17845,2905429,142331
17614,2897470,139941
14013,2900953,140920
16611,2901349,141072
17378,3275412,157777
17288,2897137,139797
16221,3274710,157439
14531,2903429,141652
17751,2901277,141025
19020,3273511,157238
15257,2904766,142192
14260,2900844,140833
15050,3272269,156967
16450,2897808,140043
15015,2903684,141783
15173,2905234,142297
16574,2905970,142567
15073,3276618,158100
17895,2897572,140012
17743,2901264,141011
15532,2904327,142028
14547,3277256,158321
15251,2897419,139886
17428,2901349,141073
18737,3277662,158399
17906,3274739,157492
16028,2904459,142075
15136,3277021,158222
17298,3269702,156215
15202,3272031,156887
17755,2899116,140379
16603,3270968,156558
17349,3274710,157459
15356,2897111,139763
14260,2903788,141835
15097,3277292,158349
14404,2903788,141836
16228,2901251,140998
17418,2897419,139903
16297,3270197,156327
16003,2897934,140123
14481,3272073,156919
17540,2897137,139791
16418,3272045,156901
16333,2905938,142544
16300,2905429,144140
16479,3271221,156662
17637,3274855,157583
17614,3278017,158444
11689,3268287,155897
16114,2900348,140664
17868,2897470,139954
17837,2899554,140526
17897,2901303,141044
16113,2906394,142622
15602,3277256,158323
14471,2906394,142624
17602,2899189,140470
18549,3268684,155993
13973,3269916,156259
14485,3270218,156349
15258,2900348,140663
16057,2906394,142621
16290,2897204,139840
14345,3271176,156608
17394,3273312,157228
17484,3271221,156686
13993,2904135,141985
14159,3274276,157325
16410,3271176,156632
16432,2904459,142075
14155,3269231,156073
16385,3275955,157854
14089,3277274,158340
13927,3276451,158041
17713,2901277,141025
15170,2902419,141232
16338,2904483,142098
18479,3278865,158556
17283,3271094,156597
16285,3275955,157850
15078,3277024,158226
16208,3270968,156555
15573,3275133,157686
14356,3268377,155913
16460,3268234,155850
14145,3276963,158191
17842,2899116,140390
17718,2901303,141045
15225,3275154,157709
15464,3270225,156353
16065,2904483,142095
17614,2897470,139944
18885,3273511,157235
16498,2904718,142146
19230,3272269,156968
17598,3268684,155997
17465,3268214,155827
17683,2899627,140562
17713,2901251,140990
17751,2897470,139927
14099,3276618,158098
12850,3276955,158183
16633,3270218,156346
16024,3272073,156919
15291,2904531,142132
17502,2901933,141135
16261,2904483,142086
15159,2904766,142192
17878,2901349,141074
14162,3276602,158079
